Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
WU,Western Union Co,"Feb 08, 2022",-,-,-
WU,Western Union Co,"Oct 27, 2021",-,-,-
WU,Western Union Co,"Aug 02, 2021",-,-,-
WU,Western Union Co,"May 03, 2021",0.46,-,-
WU,The Western Union Company,"Feb 10, 2021",0.42,0.45,+7.4
WU,The Western Union Company,"Oct 29, 2020",0.46,0.57,+23.11
WU,The Western Union Company,"Aug 04, 2020",0.35,0.41,+18.16
WU,The Western Union Company,"May 05, 2020",0.41,0.44,+6.8
WU,The Western Union Company,"Feb 11, 2020",0.43,0.38,-11.01
WU,The Western Union Company,"Oct 31, 2019",0.46,0.49,+6.29
WU,The Western Union Company,"Aug 01, 2019",0.6,0.45,-25.37
WU,The Western Union Company,"May 07, 2019",0.43,0.41,-3.98
WU,The Western Union Company,"Feb 07, 2019",0.49,0.49,-0.41
WU,The Western Union Company,"Nov 01, 2018",0.48,0.52,+8.79
WU,The Western Union Company,"Aug 02, 2018",0.47,0.46,-2.13
WU,The Western Union Company,"May 01, 2018",0.42,0.45,+6.13
WU,The Western Union Company,"Feb 13, 2018",0.45,0.41,-8.89
WU,The Western Union Company,"Nov 02, 2017",0.45,0.53,+18.04
WU,The Western Union Company,"Aug 03, 2017",0.42,0.5,+20.48
WU,The Western Union Company,"May 02, 2017",0.39,0.35,-11.17
WU,The Western Union Company,"Feb 09, 2017",0.43,0.47,+10.07
WU,The Western Union Company,"Nov 01, 2016",0.44,0.44,-0.68
WU,The Western Union Company,"Aug 03, 2016",0.4,0.42,+4.48
WU,The Western Union Company,"May 03, 2016",0.38,0.37,-2.37
WU,The Western Union Company,"Feb 09, 2016",0.42,0.42,+0.72
WU,The Western Union Company,"Oct 29, 2015",0.44,0.45,+2.51
WU,The Western Union Company,"Jul 30, 2015",0.39,0.41,+4.33
WU,The Western Union Company,"Apr 30, 2015",0.38,0.39,+3.17
WU,The Western Union Company,"Feb 10, 2015",0.34,0.42,+23.89
WU,The Western Union Company,"Oct 30, 2014",0.38,0.44,+14.88
WU,The Western Union Company,"Jul 31, 2014",0.36,0.36,-0.38
WU,The Western Union Company,"May 01, 2014",0.35,0.37,+6.1
WU,The Western Union Company,"Feb 11, 2014",0.32,0.31,-2.61
WU,The Western Union Company,"Oct 29, 2013",0.35,0.39,+10.88
WU,The Western Union Company,"Jul 30, 2013",0.34,0.36,+6.84
WU,The Western Union Company,"Apr 30, 2013",0.32,0.38,+18.13
WU,The Western Union Company,"Feb 12, 2013",0.35,0.42,+19.44
WU,The Western Union Company,"Oct 30, 2012",0.45,0.46,+2.79
WU,The Western Union Company,"Jul 24, 2012",0.43,0.46,+7
WU,The Western Union Company,"Apr 24, 2012",0.4,0.4,+0.59
WU,The Western Union Company,"Feb 07, 2012",0.4,0.39,-2.65
WU,The Western Union Company,"Oct 25, 2011",0.39,0.4,+1.6
WU,The Western Union Company,"Jul 26, 2011",0.37,0.42,+12.01
WU,The Western Union Company,"Apr 26, 2011",0.34,0.35,+2.33
WU,The Western Union Company,"Feb 01, 2011",0.35,0.38,+8.46
WU,The Western Union Company,"Oct 26, 2010",0.35,0.37,+7.18
WU,The Western Union Company,"Jul 27, 2010",0.32,0.36,+13.15
WU,The Western Union Company,"Apr 27, 2010",0.3,0.3,-0.12
WU,The Western Union Company,"Feb 03, 2010",0.32,0.32,-0.48
WU,The Western Union Company,"Oct 20, 2009",0.32,0.33,+3.8
WU,The Western Union Company,"Jul 21, 2009",0.3,0.31,+2.29
WU,The Western Union Company,"Apr 21, 2009",0.27,0.32,+16.6
WU,The Western Union Company,"Feb 05, 2009",0.34,0.37,+8.82
WU,The Western Union Company,"Oct 21, 2008",0.34,0.33,-2.81
WU,The Western Union Company,"Jul 22, 2008",0.31,0.33,+8.04
WU,The Western Union Company,"Apr 22, 2008",0.28,0.29,+3.07
WU,The Western Union Company,"Jan 31, 2008",0.31,0.32,+4.4
WU,The Western Union Company,"Oct 23, 2007",0.28,0.28,-0.34
WU,The Western Union Company,"Jul 24, 2007",0.26,0.26,-1.26
WU,The Western Union Company,"Apr 24, 2007",0.25,0.25,+1.41
WU,The Western Union Company,"Jan 31, 2007",0.26,0.28,+8.42
WU,The Western Union Company,"Oct 23, 2006",0.28,0.34,+21.66
