Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
WU,Western Union Co,2021/10/27,-,-,-
WU,Western Union Co,2021/8/2,-,-,-
WU,Western Union Co,2021/5/3,0.46,-,-
WU,The Western Union Company,2021/2/10,0.42,0.45,7.4
WU,The Western Union Company,2020/10/29,0.46,0.57,23.11
WU,The Western Union Company,2020/8/4,0.35,0.41,18.16
WU,The Western Union Company,2020/5/5,0.41,0.44,6.8
WU,The Western Union Company,2020/2/11,0.43,0.38,-11.01
WU,The Western Union Company,2019/10/31,0.46,0.49,6.29
WU,The Western Union Company,2019/8/1,0.6,0.45,-25.37
WU,The Western Union Company,2019/5/7,0.43,0.41,-3.98
WU,The Western Union Company,2019/2/7,0.49,0.49,-0.41
WU,The Western Union Company,2018/11/1,0.48,0.52,8.79
WU,The Western Union Company,2018/8/2,0.47,0.46,-2.13
WU,The Western Union Company,2018/5/1,0.42,0.45,6.13
WU,The Western Union Company,2018/2/13,0.45,0.41,-8.89
WU,The Western Union Company,2017/11/2,0.45,0.53,18.04
WU,The Western Union Company,2017/8/3,0.42,0.5,20.48
WU,The Western Union Company,2017/5/2,0.39,0.35,-11.17
WU,The Western Union Company,2017/2/9,0.43,0.47,10.07
WU,The Western Union Company,2016/11/1,0.44,0.44,-0.68
WU,The Western Union Company,2016/8/3,0.4,0.42,4.48
WU,The Western Union Company,2016/5/3,0.38,0.37,-2.37
WU,The Western Union Company,2016/2/9,0.42,0.42,0.72
