,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,WU,Western Union Co,2021-10-27,0.000,0.000,0.000
1,WU,Western Union Co,2021-09-27,0.000,0.000,0.000
2,WU,Western Union Co,2021-08-28,0.000,0.000,0.000
3,WU,Western Union Co,2021-08-02,0.000,0.000,0.000
4,WU,Western Union Co,2021-07-03,0.153,0.000,0.000
5,WU,Western Union Co,2021-06-03,0.307,0.000,0.000
6,WU,Western Union Co,2021-05-03,0.460,0.000,0.000
7,WU,Western Union Co,2021-04-03,0.447,0.150,2.467
8,WU,Western Union Co,2021-03-04,0.433,0.300,4.933
9,WU,Western Union Co,2021-02-10,0.420,0.450,7.400
10,WU,Western Union Co,2021-01-11,0.433,0.490,12.637
11,WU,Western Union Co,2020-12-12,0.447,0.530,17.873
12,WU,Western Union Co,2020-10-29,0.460,0.570,23.110
13,WU,Western Union Co,2020-09-29,0.423,0.517,21.460
14,WU,Western Union Co,2020-08-30,0.387,0.463,19.810
15,WU,Western Union Co,2020-08-04,0.350,0.410,18.160
16,WU,Western Union Co,2020-07-05,0.370,0.420,14.373
17,WU,Western Union Co,2020-06-05,0.390,0.430,10.587
18,WU,Western Union Co,2020-05-05,0.410,0.440,6.800
19,WU,Western Union Co,2020-04-05,0.417,0.420,0.863
20,WU,Western Union Co,2020-03-06,0.423,0.400,-5.073
21,WU,Western Union Co,2020-02-11,0.430,0.380,-11.010
22,WU,Western Union Co,2020-01-12,0.440,0.417,-5.243
23,WU,Western Union Co,2019-12-13,0.450,0.453,0.523
24,WU,Western Union Co,2019-10-31,0.460,0.490,6.290
25,WU,Western Union Co,2019-10-01,0.507,0.477,-4.263
26,WU,Western Union Co,2019-09-01,0.553,0.463,-14.817
27,WU,Western Union Co,2019-08-01,0.600,0.450,-25.370
28,WU,Western Union Co,2019-07-02,0.543,0.437,-18.240
29,WU,Western Union Co,2019-06-02,0.487,0.423,-11.110
30,WU,Western Union Co,2019-05-07,0.430,0.410,-3.980
31,WU,Western Union Co,2019-04-07,0.450,0.437,-2.790
32,WU,Western Union Co,2019-03-08,0.470,0.463,-1.600
33,WU,Western Union Co,2019-02-07,0.490,0.490,-0.410
34,WU,Western Union Co,2019-01-08,0.487,0.500,2.657
35,WU,Western Union Co,2018-12-09,0.483,0.510,5.723
36,WU,Western Union Co,2018-11-01,0.480,0.520,8.790
37,WU,Western Union Co,2018-10-02,0.477,0.500,5.150
38,WU,Western Union Co,2018-09-02,0.473,0.480,1.510
39,WU,Western Union Co,2018-08-02,0.470,0.460,-2.130
40,WU,Western Union Co,2018-07-03,0.453,0.457,0.623
41,WU,Western Union Co,2018-06-03,0.437,0.453,3.377
42,WU,Western Union Co,2018-05-01,0.420,0.450,6.130
43,WU,Western Union Co,2018-04-01,0.430,0.437,1.123
44,WU,Western Union Co,2018-03-02,0.440,0.423,-3.883
45,WU,Western Union Co,2018-02-13,0.450,0.410,-8.890
46,WU,Western Union Co,2018-01-14,0.450,0.450,0.087
47,WU,Western Union Co,2017-12-15,0.450,0.490,9.063
48,WU,Western Union Co,2017-11-02,0.450,0.530,18.040
49,WU,Western Union Co,2017-10-03,0.440,0.520,18.853
50,WU,Western Union Co,2017-09-03,0.430,0.510,19.667
51,WU,Western Union Co,2017-08-03,0.420,0.500,20.480
52,WU,Western Union Co,2017-07-04,0.410,0.450,9.930
53,WU,Western Union Co,2017-06-04,0.400,0.400,-0.620
54,WU,Western Union Co,2017-05-02,0.390,0.350,-11.170
55,WU,Western Union Co,2017-04-02,0.403,0.390,-4.090
56,WU,Western Union Co,2017-03-03,0.417,0.430,2.990
57,WU,Western Union Co,2017-02-09,0.430,0.470,10.070
58,WU,Western Union Co,2017-01-10,0.433,0.460,6.487
59,WU,Western Union Co,2016-12-11,0.437,0.450,2.903
60,WU,Western Union Co,2016-11-01,0.440,0.440,-0.680
61,WU,Western Union Co,2016-10-02,0.427,0.433,1.040
62,WU,Western Union Co,2016-09-02,0.413,0.427,2.760
63,WU,Western Union Co,2016-08-03,0.400,0.420,4.480
64,WU,Western Union Co,2016-07-04,0.393,0.403,2.197
65,WU,Western Union Co,2016-06-04,0.387,0.387,-0.087
66,WU,Western Union Co,2016-05-03,0.380,0.370,-2.370
67,WU,Western Union Co,2016-04-03,0.393,0.387,-1.340
68,WU,Western Union Co,2016-03-04,0.407,0.403,-0.310
69,WU,Western Union Co,2016-02-09,0.42,0.42,0.72
